(Parent) ASIN,(Child) ASIN,Sessions - Total,Session Percentage - Total,Page Views - Total,Page Views Percentage - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,,,,
B0B6PN8991,B07548J9WC,879,7.03%,"1,397",8.08%,93.11%,94,10.69%,3975.07,94,,,,
B09XX7RQMP,B08SQ6S5HF,"1,309",10.46%,"2,214",12.80%,30.71%,95,7.26%,2686.41,88,,,,
B0BH4GQSLJ,B07M6FTZYB,428,3.42%,608,3.52%,98.84%,61,14.25%,1965.92,59,,,,
B01KV7AMQ8,B01KV7AMQ8,188,1.50%,248,1.43%,98.79%,38,20.21%,1137.72,33,,,,
B09XX7RQMP,B09XHTBYMF,160,1.28%,192,1.11%,93.68%,28,17.50%,829.32,28,,,,
B0B6PN8991,B07548ND5J,428,3.42%,640,3.70%,55.05%,25,5.84%,1118.96,25,,,,
B0B6ZVMKN8,B01BKBOGDY,335,2.68%,441,2.55%,72.64%,23,6.87%,634.5,20,,,,
B0BCKK1DYK,B07ZD849VB,298,2.38%,410,2.37%,75.55%,20,6.71%,1015.24,19,,,,
B0B6ZVMKN8,B01MYQFDSB,187,1.49%,237,1.37%,97.38%,25,13.37%,677.46,18,,,,
B083KJMCWV,B01M8MAZHO,126,1.01%,173,1.00%,100.00%,18,14.29%,450.18,16,,,,
B09MB3DYG5,B07C9X11DH,193,1.54%,246,1.42%,100.00%,19,9.84%,385.91,16,,,,
B0BCKK1DYK,B085YSK11N,565,4.52%,744,4.30%,77.42%,16,2.83%,879.04,16,,,,
B0CF3Y1HYM,B0CF3Y1HYM,167,1.33%,235,1.36%,97.45%,30,17.96%,544.8,13,,,,
B0BB2VTB5H,B01M9G08KO,217,1.73%,280,1.62%,46.01%,16,7.37%,447.04,12,,,,
B01N2WQKNU,B01N2WQKNU,233,1.86%,293,1.69%,54.27%,12,5.15%,239.28,12,,,,
B08XNYD3DN,B07KS8HN58,103,0.82%,151,0.87%,96.64%,12,11.65%,575.28,12,,,,
B0CLYGNDNZ,B0CLYGNDNZ,178,1.42%,247,1.43%,99.60%,13,7.30%,598.89,12,,,,
B0BCWSX4P6,B07L7B1Y71,62,0.50%,83,0.48%,97.53%,11,17.74%,835.34,10,,,,
B0CKY5HKXC,B0CKY5HKXC,153,1.22%,226,1.31%,99.12%,10,6.54%,587.24,10,,,,
B01M7Q4HAC,B01M7Q4HAC,213,1.70%,278,1.61%,47.48%,10,4.69%,299.4,9,,,,
B0BM4S2MNW,B06XCBMBDN,138,1.10%,170,0.98%,29.76%,11,7.97%,575.86,9,,,,
B0BCWSX4P6,B07HKJ4P37,223,1.78%,264,1.53%,76.43%,9,4.04%,359.46,9,,,,
B093RB68P3,B08SW6SHNM,96,0.77%,115,0.67%,100.00%,9,9.38%,521.66,9,,,,
B09XX7RQMP,B09XHQLDDC,71,0.57%,88,0.51%,91.55%,12,16.90%,359.28,9,,,,
B09MB3DYG5,B07BT8G71Q,71,0.57%,83,0.48%,91.03%,9,12.68%,176.61,8,,,,
B09YXYPZNN,B09YVP5H64,95,0.76%,140,0.81%,100.00%,8,8.42%,655.52,8,,,,
B0C6J1LZD6,B0C6J1LZD6,170,1.36%,230,1.33%,82.17%,8,4.71%,342.9,8,,,,
B0BH4GQSLJ,B08RDJFS9F,58,0.46%,72,0.42%,95.65%,8,13.79%,505.08,7,,,,
B09H6VLBCQ,B09H6VLBCQ,48,0.38%,65,0.38%,98.46%,9,18.75%,197.46,7,,,,
B09XX7RQMP,B09XHT8597,102,0.82%,125,0.72%,99.09%,7,6.86%,209.58,7,,,,
B0CKY6M2DV,B0CKY6M2DV,84,0.67%,109,0.63%,100.00%,17,20.24%,814.58,7,,,,
B0CLJDZ2SL,B0CLJDZ2SL,72,0.58%,115,0.67%,100.00%,7,9.72%,220.34,7,,,,
B0BCKK1DYK,B08JYWLLGM,218,1.74%,269,1.56%,98.08%,6,2.75%,329.64,6,,,,
B0B33L66J3,B096KYYRKM,144,1.15%,182,1.05%,95.00%,6,4.17%,171.9,6,,,,
B09YXYPZNN,B09YVRGRFZ,204,1.63%,289,1.67%,85.51%,6,2.94%,493.14,6,,,,
